top_frac,top_pct,K,precision_at_k,recall_at_k
0.005,0.5,1687,0.33550681683461764,0.2505533421868083
0.01,1.0,3375,0.25807407407407407,0.38556883576803896
0.02,2.0,6751,0.18071396830099246,0.5400619743249225
0.05,5.0,16878,0.09965635738831616,0.7445772465692785
